vin,year,make,model,trim,price,mileage,body_style,seats,features,photo_url,listing_url,location,dealer_phone,doc_fee,stock_number
2C3CDZH92JH102166,2018,Dodge,Challenger,SRT Demon,110500,9029,,,Pitch Black Clearcoat; 8-SPEED AUTOMATIC HP90; 8 Cylinder Engine; Rear Wheel Drive,https://imagescdn.dealercarsearch.com/Media/1123/24168720/639233542887187646.jpg,https://www.craigandlandrethcars.com/vdp/24168720/Used-2018-Dodge-Challenger-SRT-Demon-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D48127C
1C6SRFU9XRN170514,2024,RAM,1500,TRX Crew Cab SB 4WD,104500,16864,,,Flame Red Clearcoat; 8-SPEED AUTOMATIC (8HP95); 8 Cylinder Engine; Four Wheel Drive,https://imagescdn.dealercarsearch.com/Media/1123/24234985/639233541526215012.jpg,https://www.craigandlandrethcars.com/vdp/24234985/Used-2024-RAM-1500-TRX-Crew-Cab-SB-4WD-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D48397A
1GYS9KRL7SR193506,2025,Cadillac,Escalade,ESV Premium Luxury AWD,99850,22381,,,Crystal White Tricoat; LEATHER SEATING SURFACES WITH PRECISION PERFORATED; 10-SPEED AUTOMATIC; 8 Cylinder Engine; Four Wheel Drive,https://imagescdn.dealercarsearch.com/Media/1123/24168691/639233542496500135.jpg,https://www.craigandlandrethcars.com/vdp/24168691/Used-2025-Cadillac-Escalade-ESV-Premium-Luxury-AWD-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D48228
3C63RRPL4TG154449,2026,RAM,3500,Limited Mega Cab 4WD DRW,94455,8195,,,Bright White Clearcoat; Automatic; Straight 6 Cylinder Engine; 4WD,https://imagescdn.dealercarsearch.com/Media/3833/24218196/639233615543876633.jpg,https://www.craigandlandrethcars.com/vdp/24218196/Used-2026-RAM-3500-Limited-Mega-Cab-4WD-DRW-for-sale-in-Bullitt-County-KY-40165,Bullitt County,502-543-6276,690,DD48344
JTJTBCDX5S5042845,2025,Lexus,GX,GX 550 Overtrail+ 4WD,89800,13211,,,Earth and Black Onyx; Automatic; V6 Cylinder Engine; Four Wheel Drive,https://imagescdn.dealercarsearch.com/Media/1123/24168824/639233544214915063.jpg,https://www.craigandlandrethcars.com/vdp/24168824/Used-2025-Lexus-GX-GX-550-Overtrail-4WD-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D48346
SALE2FEU7T2516808,2026,Land Rover,Defender,130 X-Dynamic SE,88500,10721,,,Gondwana Stone Metallic; Automatic; Straight 6 Cylinder Engine; All Wheel Drive,https://imagescdn.dealercarsearch.com/Media/1123/24238705/639233835358974202.jpg,https://www.craigandlandrethcars.com/vdp/24238705/Used-2026-Land-Rover-Defender-130-XDynamic-SE-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D48451
JN8AZ3DB9T9433621,2026,Infiniti,QX80,Sensory 4WD,87800,5598,,,Radiant White/Black Obsidian; UNIQUE SPORT SEMI-ANILINE LEATHER SEATING SURFACES; Automatic; V6 Cylinder Engine; Four Wheel Drive,https://imagescdn.dealercarsearch.com/Media/1123/24231991/639233544463363336.jpg,https://www.craigandlandrethcars.com/vdp/24231991/Used-2026-Infiniti-QX80-Sensory-4WD-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D48419
JTJTBCDXXS5035938,2025,Lexus,GX,GX 550 Overtrail+ 4WD,87500,16803,,,Earth and Black Onyx; Automatic; V6 Cylinder Engine; Four Wheel Drive,https://imagescdn.dealercarsearch.com/Media/1123/24168782/639233543996225018.jpg,https://www.craigandlandrethcars.com/vdp/24168782/Used-2025-Lexus-GX-GX-550-Overtrail-4WD-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D48271
1FA6P8CF3S5401932,2025,Ford,Mustang,GT Premium Coupe,86820,2012,,,Oxford White; 6-SPEED MANUAL; 8 Cylinder Engine; Rear Wheel Drive,https://imagescdn.dealercarsearch.com/Media/1123/24168644/639233541527857180.jpg,https://www.craigandlandrethcars.com/vdp/24168644/Used-2025-Ford-Mustang-GT-Premium-Coupe-for-sale-in-Louisville-KY-40207,Louisville,502-447-3450,690,D48204
1FMEE0RR9SLB63865,2025,Ford,Bronco,Raptor,83500,3390,,,White; Leather; 10 Speed; 3.0L EcoBoost V6; 4WD,https://imagescdn.dealercarsearch.com/Media/1129/24199894/639226588097622884.jpg,https://www.craigandlandrethcars.com/vdp/24199894/Used-2025-Ford-Bronco-Raptor-for-sale-in-Clarksville-IN-47129,Clarksville,812-280-8018,260,MU21043
